congress,chamber,rollnumber,icpsr,cast_code
115,Senate,5,29722,1
115,Senate,5,29732,6
115,Senate,5,29735,6
115,Senate,5,29754,1
115,Senate,5,29909,6
115,Senate,5,29924,6
115,Senate,5,29935,1
115,Senate,5,29940,6
115,Senate,5,39310,6
115,Senate,5,40300,1
115,Senate,5,40304,6
115,Senate,5,40305,6
115,Senate,5,40700,6
115,Senate,5,40701,6
115,Senate,5,40702,6
115,Senate,5,40703,6
115,Senate,5,40704,6
115,Senate,5,40705,1
115,Senate,5,40707,6
115,Senate,5,40902,1
115,Senate,5,40904,6
115,Senate,5,40906,6
115,Senate,5,40908,6
115,Senate,5,40909,6
115,Senate,5,40910,6
115,Senate,5,40915,6
115,Senate,5,40916,6
115,Senate,5,41101,6
115,Senate,5,41102,1
115,Senate,5,41104,6
115,Senate,5,41107,1
115,Senate,5,41110,1
115,Senate,5,41111,1
115,Senate,5,41112,6
115,Senate,5,41300,6
115,Senate,5,41301,6
115,Senate,5,41302,1
115,Senate,5,41303,6
115,Senate,5,41304,1
115,Senate,5,41305,6
115,Senate,5,41308,6
115,Senate,5,41500,1
115,Senate,5,41501,6
115,Senate,5,41502,1
115,Senate,5,41503,1
115,Senate,5,41504,9
115,Senate,5,41505,6
115,Senate,5,41700,6
115,Senate,5,41701,6
115,Senate,5,41702,6
115,Senate,5,41703,6
115,Senate,5,49300,6
115,Senate,5,49308,6
115,Senate,5,49700,9
115,Senate,5,49703,1
115,Senate,5,49706,6
115,Senate,5,94659,6
115,Senate,6,14009,6
115,Senate,6,14226,6
115,Senate,6,14307,1
115,Senate,6,14435,1
115,Senate,6,14503,6
115,Senate,6,14651,1
115,Senate,6,14852,6
115,Senate,6,14858,1
115,Senate,6,14871,1
115,Senate,6,14921,6
115,Senate,6,15015,1
115,Senate,6,15021,1
115,Senate,6,15039,6
115,Senate,6,15408,1
115,Senate,6,15424,6
115,Senate,6,20100,6
115,Senate,6,20101,6
115,Senate,6,20146,6
115,Senate,6,20330,1
115,Senate,6,20707,1
115,Senate,6,20713,1
115,Senate,6,20717,1
115,Senate,6,20730,6
115,Senate,6,20735,1
115,Senate,6,20919,6
